seg,iter,div_round,nid,fit_cur,fit_best_global,fit_best_segment,improved,multi_visit,best_multi_fit
2,9,0,1,143,140.111,140.111,0,1,140.111
2,10,0,0,140.111,140.111,140.111,0,1,140.111
2,11,0,2,144,140.111,140.111,0,1,140.111
2,12,0,1,140.111,140.111,140.111,0,1,140.111
2,13,0,2,140.111,140.111,140.111,0,1,140.111
2,14,0,0,140.111,140.111,140.111,0,1,140.111
2,15,0,1,140.111,140.111,140.111,0,1,140.111
2,16,0,1,152.111,140.111,140.111,0,1,140.111
2,17,0,1,140.111,140.111,140.111,0,1,140.111
2,18,0,0,140.111,140.111,140.111,0,1,140.111
2,19,0,1,142.1,140.111,140.111,0,1,140.111
2,20,0,0,140.111,140.111,140.111,0,1,140.111
2,21,0,0,148.111,140.111,140.111,0,1,140.111
2,22,0,0,148.111,140.111,140.111,0,1,140.111
2,23,0,0,152.111,140.111,140.111,0,1,140.111
2,24,0,0,147.1,140.111,140.111,0,1,140.111
2,25,0,0,140.111,140.111,140.111,0,1,140.111
2,26,0,0,140.111,140.111,140.111,0,1,140.111
2,27,0,0,138.626,138.626,138.626,1,1,138.626
2,28,0,0,138.626,138.626,138.626,0,1,138.626
2,29,0,0,138.626,138.626,138.626,0,1,138.626
2,30,0,0,144.111,138.626,138.626,0,1,138.626
2,31,0,0,144.111,138.626,138.626,0,1,138.626
2,32,0,0,150.626,138.626,138.626,0,1,138.626
3,0,0,1,138.626,138.626,138.626,0,1,138.626
3,1,0,0,138.626,138.626,138.626,0,0,138.626
3,2,0,1,138.626,138.626,138.626,0,0,138.626
3,3,0,0,138.626,138.626,138.626,0,0,138.626
3,4,0,1,138.626,138.626,138.626,0,0,138.626
3,5,0,2,138.626,138.626,138.626,0,1,138.626
3,6,0,0,138.626,138.626,138.626,0,1,138.626
3,7,0,1,144.111,138.626,138.626,0,1,138.626
3,8,0,1,150.626,138.626,138.626,0,1,138.626
3,9,0,1,157.763,138.626,138.626,0,1,138.626
3,10,0,0,138.626,138.626,138.626,0,1,138.626
3,11,0,1,140.111,138.626,138.626,0,0,138.626
3,12,0,2,138.626,138.626,138.626,0,1,138.626
3,13,0,0,138.626,138.626,138.626,0,1,138.626
3,14,0,2,138.626,138.626,138.626,0,0,138.626
3,15,0,1,138.626,138.626,138.626,0,1,138.626
3,16,0,0,144.111,138.626,138.626,0,1,138.626
3,17,0,0,144.111,138.626,138.626,0,1,138.626
3,18,0,1,138.626,138.626,138.626,0,1,138.626
3,19,0,2,152.111,138.626,138.626,0,1,138.626
3,20,0,1,138.626,138.626,138.626,0,1,138.626
3,21,0,0,147.1,138.626,138.626,0,1,138.626
3,22,0,0,138.626,138.626,138.626,0,1,138.626
3,23,0,0,138.626,138.626,138.626,0,1,138.626
3,24,0,0,138.626,138.626,138.626,0,1,138.626
3,25,0,0,138.626,138.626,138.626,0,1,138.626
3,26,0,0,138.626,138.626,138.626,0,1,138.626
3,27,0,0,144.111,138.626,138.626,0,1,138.626
3,28,0,0,144.111,138.626,138.626,0,1,138.626
3,29,0,2,140.111,138.626,138.626,0,1,138.626
3,30,0,0,147.1,138.626,138.626,0,1,138.626
3,31,0,0,138.626,138.626,138.626,0,1,138.626
3,32,0,2,167.1,138.626,138.626,0,1,138.626
3,33,0,0,138.626,138.626,138.626,0,1,138.626
3,34,0,2,143,138.626,138.626,0,1,138.626
3,35,0,0,138.626,138.626,138.626,0,1,138.626
3,36,0,0,138.626,138.626,138.626,0,1,138.626
3,37,0,0,138.626,138.626,138.626,0,1,138.626
3,38,0,0,144.111,138.626,138.626,0,1,138.626
4,0,0,2,138.626,138.626,138.626,0,1,138.626
4,1,0,2,138.626,138.626,138.626,0,0,138.626
4,2,0,2,152.111,138.626,138.626,0,1,138.626
4,3,0,2,167.1,138.626,138.626,0,1,138.626
4,4,0,2,143,138.626,138.626,0,1,138.626
4,5,0,1,138.626,138.626,138.626,0,1,138.626
4,6,0,0,138.626,138.626,138.626,0,1,138.626
4,7,0,0,138.626,138.626,138.626,0,1,138.626
4,8,0,0,138.626,138.626,138.626,0,1,138.626
4,9,0,0,138.626,138.626,138.626,0,1,138.626
4,10,0,0,138.626,138.626,138.626,0,1,138.626
4,11,0,0,144.111,138.626,138.626,0,1,138.626
4,12,0,1,138.626,138.626,138.626,0,1,138.626
4,13,0,1,138.626,138.626,138.626,0,1,138.626
4,14,0,0,144.111,138.626,138.626,0,1,138.626
4,15,0,0,147.1,138.626,138.626,0,1,138.626
